sessionId,model,actionId,s_t_img,s_t1_img,after_yaw,after_pitch,delta_yaw,delta_pitch,init_yaw,init_pitch,t_start_ms,t_end_ms,duration_ms,server_received_ms,recovered_after_eulerZ_deg
VCURIOSITY_30,Set_13_orig_glossy_1.glb,-1,,,,,,,153.25979464427292,281.16895281235486,NaN,,,1759871550469,175.075585
VCURIOSITY_30,Set_13_orig_glossy_1.glb,0,1759871552395-773697_before.png,1759871552395-773697_after.png,161.32319185787685,285.7932241513594,8.063397213603935,4.624271339004508,,,1759871552395,1759871552447,52,1759871552461,175.169551
VCURIOSITY_30,Set_13_orig_glossy_1.glb,0,1759871552656-989077_before.png,1759871552656-989077_after.png,165.65143234596098,290.5906716755268,4.328240488084134,4.79744752416741,,,1759871552656,1759871552717,61,1759871552731,175.300143
VCURIOSITY_30,Set_13_orig_glossy_1.glb,2,1759871553391-897533_before.png,1759871553391-897533_after.png,160.65143234596098,290.5906716755268,-5,0,,,1759871553390,1759871553447,57,1759871553450,175.269944
VCURIOSITY_30,Set_13_orig_glossy_1.glb,2,1759871553854-737724_before.png,1759871553854-737724_after.png,155.65143234596098,290.5906716755268,-5,0,,,1759871553854,1759871553910,56,1759871553919,175.202779
VCURIOSITY_30,Set_13_orig_glossy_1.glb,2,1759871554172-955970_before.png,1759871554172-955970_after.png,150.65143234596098,290.5906716755268,-5,0,,,1759871554172,1759871554228,56,1759871554229,175.096002
VCURIOSITY_30,Set_13_orig_glossy_1.glb,2,1759871554816-954236_before.png,1759871554816-954236_after.png,145.6514323459611,290.5906716755268,-4.999999999999886,0,,,1759871554816,1759871554882,66,1759871554896,174.945229
VCURIOSITY_30,Set_13_orig_glossy_1.glb,2,1759871555135-480804_before.png,1759871555135-480804_after.png,140.65143234596104,290.5906716755268,-5,0,,,1759871555135,1759871555196,61,1759871555208,174.743867
VCURIOSITY_30,Set_13_orig_glossy_1.glb,2,1759871555359-648903_before.png,1759871555359-648903_after.png,135.65143234596104,290.5906716755268,-5,0,,,1759871555359,1759871555411,52,1759871555418,174.482370
VCURIOSITY_30,Set_13_orig_glossy_1.glb,0,1759871555841-210060_before.png,1759871555841-210060_after.png,143.4911366918003,294.4066749041312,7.839704345839209,3.816003228604359,,,1759871555840,1759871555897,57,1759871555904,177.573587
VCURIOSITY_30,Set_13_orig_glossy_1.glb,0,1759871556043-923121_before.png,1759871556043-923121_after.png,149.06685787962704,298.5711661510928,5.57572118782673,4.164491246961688,,,1759871556043,1759871556096,53,1759871556107,-179.302536
VCURIOSITY_30,Set_13_orig_glossy_1.glb,0,1759871556239-866066_before.png,1759871556239-866066_after.png,153.13024304635132,302.9518275837551,4.063385166724288,4.380661432662237,,,1759871556239,1759871556294,55,1759871556304,-176.188082
VCURIOSITY_30,Set_13_orig_glossy_1.glb,0,1759871556444-597653_before.png,1759871556444-597653_after.png,156.16605208596343,307.4724149679684,3.0358090396121042,4.520587384213286,,,1759871556444,1759871556495,51,1759871556507,-173.124638
VCURIOSITY_30,Set_13_orig_glossy_1.glb,0,1759871556669-972859_before.png,1759871556669-972859_after.png,158.48286510541914,312.0873058775084,2.316813019455708,4.614890909540009,,,1759871556669,1759871556731,62,1759871556742,-170.151188
VCURIOSITY_30,Set_13_orig_glossy_1.glb,2,1759871556961-328307_before.png,1759871556961-328307_after.png,153.48286510541925,312.0873058775084,-4.999999999999886,0,,,1759871556961,1759871557014,53,1759871557026,-169.577497
VCURIOSITY_30,Set_13_orig_glossy_1.glb,2,1759871557168-978291_before.png,1759871557168-978291_after.png,148.4828651054192,312.08730587750847,-5,0,,,1759871557168,1759871557228,60,1759871557231,-168.845695
VCURIOSITY_30,Set_13_orig_glossy_1.glb,0,1759871557567-560921_before.png,1759871557567-560921_after.png,151.06857546469053,316.4094076198674,2.5857103592713884,4.322101742358882,,,1759871557567,1759871557628,61,1759871557643,-164.773459
VCURIOSITY_30,Set_13_orig_glossy_1.glb,0,1759871557825-866504_before.png,1759871557825-866504_after.png,153.1312658368837,320.8295618370508,2.062690372193174,4.420154217183381,,,1759871557825,1759871557878,53,1759871557888,-160.958667
VCURIOSITY_30,Set_13_orig_glossy_1.glb,0,1759871558027-567918_before.png,1759871558027-567918_after.png,154.78203964253623,325.3228877505917,1.650773805652534,4.493325913540957,,,1759871558027,1759871558078,51,1759871558089,-157.439493
VCURIOSITY_30,Set_13_orig_glossy_1.glb,0,1759871558240-596291_before.png,1759871558240-596291_after.png,156.1018389751273,329.8713904185489,1.3197993325910602,4.548502667957223,,,1759871558240,1759871558297,57,1759871558306,-154.237761
VCURIOSITY_30,Set_13_orig_glossy_1.glb,0,1759871559826-966136_before.png,1759871559826-966136_after.png,157.14986906320019,334.4617092523609,1.0480300880728919,4.590318833812034,,,1759871559826,1759871559878,52,1759871559879,-151.361580
VCURIOSITY_30,Set_13_orig_glossy_1.glb,0,1759871560094-537339_before.png,1759871560094-537339_after.png,157.96950262111284,339.0836429962639,0.8196335579126526,4.621933743903014,,,1759871560094,1759871560148,54,1759871560148,-148.808714
VCURIOSITY_30,Set_13_orig_glossy_1.glb,0,1759871560321-837930_before.png,1759871560321-837930_after.png,158.59235880746814,343.7291624367149,0.6228561863553068,4.645519440450926,,,1759871560320,1759871560379,59,1759871560390,-146.569926
VCURIOSITY_30,Set_13_orig_glossy_1.glb,0,1759871560526-637876_before.png,1759871560526-637876_after.png,159.04109698816444,348.3917310915286,0.4487381806962958,4.66256865481364,,,1759871560526,1759871560578,52,1759871560589,-144.631874
