sessionId,model,actionId,s_t_img,s_t1_img,after_yaw,after_pitch,delta_yaw,delta_pitch,init_yaw,init_pitch,t_start_ms,t_end_ms,duration_ms,server_received_ms,recovered_after_eulerZ_deg
VCURIOSITY_21,Set_13_elong_matte_2.glb,-1,,,,,,,90,0,NaN,,,1759103258025,-90.000000
VCURIOSITY_21,Set_13_elong_matte_2.glb,2,1759103261954-411644_before.png,1759103261954-411644_after.png,85,0,-5,0,,,1759103261954,1759103262005,51,1759103262010,-45.109222
VCURIOSITY_21,Set_13_elong_matte_2.glb,2,1759103263794-781009_before.png,1759103263794-781009_after.png,80,0,-5,0,,,1759103263794,1759103263845,51,1759103263846,-26.740205
VCURIOSITY_21,Set_13_elong_matte_2.glb,2,1759103263971-236198_before.png,1759103263971-236198_after.png,75,0,-5,0,,,1759103263971,1759103264022,51,1759103264027,-18.676808
VCURIOSITY_21,Set_13_elong_matte_2.glb,2,1759103264131-438885_before.png,1759103264131-438885_after.png,70,0,-5,0,,,1759103264131,1759103264184,53,1759103264187,-14.348568
VCURIOSITY_21,Set_13_elong_matte_2.glb,2,1759103264274-562315_before.png,1759103264274-562315_after.png,65,0,-5,0,,,1759103264274,1759103264328,54,1759103264331,-11.695922
VCURIOSITY_21,Set_13_elong_matte_2.glb,2,1759103264451-888569_before.png,1759103264451-888569_after.png,60,0,-5,0,,,1759103264451,1759103264501,50,1759103264489,-9.924985
VCURIOSITY_21,Set_13_elong_matte_2.glb,2,1759103264595-680804_before.png,1759103264595-680804_after.png,55,0,-5,0,,,1759103264594,1759103264647,53,1759103264647,-8.672584
VCURIOSITY_21,Set_13_elong_matte_2.glb,2,1759103264771-429409_before.png,1759103264771-429409_after.png,50,0,-5,0,,,1759103264771,1759103264823,52,1759103264826,-7.750797
VCURIOSITY_21,Set_13_elong_matte_2.glb,2,1759103264947-396720_before.png,1759103264947-396720_after.png,45,0,-5,0,,,1759103264947,1759103264998,51,1759103265001,-7.053227
VCURIOSITY_21,Set_13_elong_matte_2.glb,2,1759103265250-237314_before.png,1759103265250-237314_after.png,40,0,-5,0,,,1759103265250,1759103265303,53,1759103265302,-6.515426
VCURIOSITY_21,Set_13_elong_matte_2.glb,2,1759103265394-169697_before.png,1759103265394-169697_after.png,35,0,-5,0,,,1759103265394,1759103265448,54,1759103265452,-6.096305
VCURIOSITY_21,Set_13_elong_matte_2.glb,2,1759103265555-405566_before.png,1759103265555-405566_after.png,30,0,-5,0,,,1759103265555,1759103265617,62,1759103265611,-5.768632
VCURIOSITY_21,Set_13_elong_matte_2.glb,2,1759103265714-882872_before.png,1759103265714-882872_after.png,25,0,-5,0,,,1759103265714,1759103265768,54,1759103265771,-5.513852
VCURIOSITY_21,Set_13_elong_matte_2.glb,2,1759103265875-719388_before.png,1759103265875-719388_after.png,20,0,-5,0,,,1759103265875,1759103265927,52,1759103265930,-5.319103
VCURIOSITY_21,Set_13_elong_matte_2.glb,2,1759103266036-26145_before.png,1759103266036-26145_after.png,15,0,-5,0,,,1759103266036,1759103266090,54,1759103266094,-5.175439
VCURIOSITY_21,Set_13_elong_matte_2.glb,2,1759103266210-275398_before.png,1759103266210-275398_after.png,10,0,-5,0,,,1759103266210,1759103266261,51,1759103266265,-5.076733
VCURIOSITY_21,Set_13_elong_matte_2.glb,2,1759103266371-205863_before.png,1759103266371-205863_after.png,5,0,-5,0,,,1759103266371,1759103266422,51,1759103266425,-5.019002
VCURIOSITY_21,Set_13_elong_matte_2.glb,2,1759103266563-430286_before.png,1759103266563-430286_after.png,0,0,-5,0,,,1759103266563,1759103266617,54,1759103266611,-5.000000
VCURIOSITY_21,Set_13_elong_matte_2.glb,2,1759103266771-647568_before.png,1759103266771-647568_after.png,355,0,-5,0,,,1759103266771,1759103266821,50,1759103266824,-5.019002
VCURIOSITY_21,Set_13_elong_matte_2.glb,2,1759103266931-390817_before.png,1759103266931-390817_after.png,349.99999999999994,0,-5,0,,,1759103266931,1759103266985,54,1759103266986,-5.076733
VCURIOSITY_21,Set_13_elong_matte_2.glb,2,1759103267122-961457_before.png,1759103267122-961457_after.png,344.99999999999994,0,-5,0,,,1759103267122,1759103267175,53,1759103267179,-5.175439
VCURIOSITY_21,Set_13_elong_matte_2.glb,2,1759103267362-999844_before.png,1759103267362-999844_after.png,339.99999999999994,0,-5,0,,,1759103267362,1759103267417,55,1759103267420,-5.319103
VCURIOSITY_21,Set_13_elong_matte_2.glb,2,1759103267539-8862_before.png,1759103267539-8862_after.png,334.99999999999994,0,-5,0,,,1759103267539,1759103267593,54,1759103267596,-5.513852
VCURIOSITY_21,Set_13_elong_matte_2.glb,2,1759103267699-227033_before.png,1759103267699-227033_after.png,329.99999999999994,0,-5,0,,,1759103267699,1759103267751,52,1759103267753,-5.768632
VCURIOSITY_21,Set_13_elong_matte_2.glb,2,1759103267859-834634_before.png,1759103267859-834634_after.png,324.99999999999994,0,-5,0,,,1759103267859,1759103267920,61,1759103267922,-6.096305
VCURIOSITY_21,Set_13_elong_matte_2.glb,2,1759103268019-46663_before.png,1759103268019-46663_after.png,319.9999999999999,0,-5,0,,,1759103268019,1759103268070,51,1759103268074,-6.515426
VCURIOSITY_21,Set_13_elong_matte_2.glb,2,1759103268196-541050_before.png,1759103268196-541050_after.png,314.9999999999999,0,-5,0,,,1759103268195,1759103268248,53,1759103268249,-7.053227
VCURIOSITY_21,Set_13_elong_matte_2.glb,2,1759103268370-705628_before.png,1759103268370-705628_after.png,309.9999999999999,0,-5,0,,,1759103268370,1759103268429,59,1759103268431,-7.750797
VCURIOSITY_21,Set_13_elong_matte_2.glb,2,1759103268547-401196_before.png,1759103268547-401196_after.png,304.9999999999999,0,-5,0,,,1759103268547,1759103268599,52,1759103268594,-8.672584
VCURIOSITY_21,Set_13_elong_matte_2.glb,2,1759103268707-111860_before.png,1759103268707-111860_after.png,299.9999999999999,0,-5,0,,,1759103268707,1759103268763,56,1759103268751,-9.924985
VCURIOSITY_21,Set_13_elong_matte_2.glb,2,1759103268883-324280_before.png,1759103268883-324280_after.png,294.9999999999999,0,-5,0,,,1759103268883,1759103268933,50,1759103268937,-11.695922
VCURIOSITY_21,Set_13_elong_matte_2.glb,2,1759103269058-752586_before.png,1759103269058-752586_after.png,289.99999999999983,0,-5,0,,,1759103269058,1759103269110,52,1759103269109,-14.348568
VCURIOSITY_21,Set_13_elong_matte_2.glb,2,1759103269219-734280_before.png,1759103269219-734280_after.png,284.99999999999983,0,-5,0,,,1759103269219,1759103269272,53,1759103269275,-18.676808
VCURIOSITY_21,Set_13_elong_matte_2.glb,2,1759103269395-762698_before.png,1759103269395-762698_after.png,279.99999999999983,0,-5,0,,,1759103269395,1759103269445,50,1759103269449,-26.740205
VCURIOSITY_21,Set_13_elong_matte_2.glb,2,1759103269587-494228_before.png,1759103269587-494228_after.png,274.99999999999983,0,-5,0,,,1759103269587,1759103269643,56,1759103269646,-45.109222
VCURIOSITY_21,Set_13_elong_matte_2.glb,2,1759103269795-269458_before.png,1759103269795-269458_after.png,269.99999999999983,0,-5,0,,,1759103269795,1759103269852,57,1759103269856,-90.000000
VCURIOSITY_21,Set_13_elong_matte_2.glb,2,1759103269971-738360_before.png,1759103269971-738360_after.png,264.99999999999983,0,-5,0,,,1759103269971,1759103270024,53,1759103270028,-134.890778
VCURIOSITY_21,Set_13_elong_matte_2.glb,2,1759103270162-217843_before.png,1759103270162-217843_after.png,259.99999999999983,0,-5,0,,,1759103270162,1759103270214,52,1759103270218,-153.259795
VCURIOSITY_21,Set_13_elong_matte_2.glb,2,1759103270578-420600_before.png,1759103270578-420600_after.png,254.99999999999983,0,-5,0,,,1759103270578,1759103270630,52,1759103270632,-161.323192
VCURIOSITY_21,Set_13_elong_matte_2.glb,2,1759103270738-852595_before.png,1759103270738-852595_after.png,249.99999999999983,0,-5,0,,,1759103270738,1759103270795,57,1759103270799,-165.651432
VCURIOSITY_21,Set_13_elong_matte_2.glb,2,1759103270979-116978_before.png,1759103270979-116978_after.png,244.99999999999983,0,-5,0,,,1759103270979,1759103271030,51,1759103271030,-168.304078
VCURIOSITY_21,Set_13_elong_matte_2.glb,2,1759103271203-845001_before.png,1759103271203-845001_after.png,239.99999999999986,0,-5,0,,,1759103271203,1759103271267,64,1759103271260,-170.075015
VCURIOSITY_21,Set_13_elong_matte_2.glb,2,1759103271378-531257_before.png,1759103271378-531257_after.png,234.99999999999986,0,-5,0,,,1759103271378,1759103271436,58,1759103271436,-171.327416
VCURIOSITY_21,Set_13_elong_matte_2.glb,2,1759103271587-889140_before.png,1759103271587-889140_after.png,229.99999999999983,0,-5,0,,,1759103271587,1759103271643,56,1759103271636,-172.249203
VCURIOSITY_21,Set_13_elong_matte_2.glb,2,1759103271810-464281_before.png,1759103271810-464281_after.png,224.99999999999986,0,-5,0,,,1759103271810,1759103271861,51,1759103271862,-172.946773
VCURIOSITY_21,Set_13_elong_matte_2.glb,2,1759103272034-571776_before.png,1759103272034-571776_after.png,219.9999999999999,0,-5,0,,,1759103272034,1759103272085,51,1759103272085,-173.484574
VCURIOSITY_21,Set_13_elong_matte_2.glb,2,1759103272259-48935_before.png,1759103272259-48935_after.png,214.99999999999986,0,-5,0,,,1759103272259,1759103272314,55,1759103272318,-173.903695
VCURIOSITY_21,Set_13_elong_matte_2.glb,2,1759103272450-647681_before.png,1759103272450-647681_after.png,209.99999999999986,0,-5,0,,,1759103272450,1759103272504,54,1759103272506,-174.231368
VCURIOSITY_21,Set_13_elong_matte_2.glb,2,1759103272674-127377_before.png,1759103272674-127377_after.png,204.9999999999999,0,-5,0,,,1759103272674,1759103272727,53,1759103272729,-174.486148
VCURIOSITY_21,Set_13_elong_matte_2.glb,0,1759103273282-9942_before.png,1759103273282-9942_after.png,205.0837712492154,4.530509156437176,0.08377124921548784,4.53050915643712,,,1759103273282,1759103273334,52,1759103273333,-176.821953
VCURIOSITY_21,Set_13_elong_matte_2.glb,0,1759103273491-952285_before.png,1759103273491-952285_after.png,205.33761145154867,9.054778951838216,0.25384020233332194,4.524269795401096,,,1759103273491,1759103273544,53,1759103273544,-179.192582
VCURIOSITY_21,Set_13_elong_matte_2.glb,0,1759103273666-384542_before.png,1759103273666-384542_after.png,205.7692621316904,13.566260370965836,0.431650680141729,4.511481419127676,,,1759103273666,1759103273728,62,1759103273732,178.427882
VCURIOSITY_21,Set_13_elong_matte_2.glb,0,1759103273859-643790_before.png,1759103273859-643790_after.png,206.3921818102455,18.05775517198225,0.6229196785550357,4.491494801016415,,,1759103273859,1759103273910,51,1759103273911,176.065666
VCURIOSITY_21,Set_13_elong_matte_2.glb,0,1759103274051-817176_before.png,1759103274051-817176_after.png,207.2264352140419,22.521012118111003,0.8342534037964242,4.463256946128695,,,1759103274051,1759103274110,59,1759103274113,173.746396
VCURIOSITY_21,Set_13_elong_matte_2.glb,0,1759103274227-542585_before.png,1759103274227-542585_after.png,208.30005243274783,26.946215262627675,1.0736172187059765,4.425203144516672,,,1759103274227,1759103274280,53,1759103274282,171.494242
VCURIOSITY_21,Set_13_elong_matte_2.glb,0,1759103274386-263050_before.png,1759103274386-263050_after.png,209.65097868266116,31.32130437959779,1.3509262499133001,4.375089116970116,,,1759103274386,1759103274437,51,1759103274441,169.331211
VCURIOSITY_21,Set_13_elong_matte_2.glb,0,1759103274595-273191_before.png,1759103274595-273191_after.png,211.32976994329204,35.631042386803074,1.6787912606308737,4.309738007205283,,,1759103274595,1759103274649,54,1759103274652,167.276641
VCURIOSITY_21,Set_13_elong_matte_2.glb,0,1759103274787-741129_before.png,1759103274787-741129_after.png,213.40319873424187,39.85570743161878,2.0734287909498335,4.224665044815765,,,1759103274787,1759103274838,51,1759103274843,165.346914
VCURIOSITY_21,Set_13_elong_matte_2.glb,0,1759103274978-474700_before.png,1759103274978-474700_after.png,215.9588556631199,43.96923687680612,2.5556569288780793,4.113529445187396,,,1759103274978,1759103275030,52,1759103275034,163.555395
VCURIOSITY_21,Set_13_elong_matte_2.glb,0,1759103275154-595407_before.png,1759103275154-595407_after.png,219.11051031702908,47.93659356729307,3.1516546539091905,3.967356690486895,,,1759103275154,1759103275205,51,1759103275209,161.912559
VCURIOSITY_21,Set_13_elong_matte_2.glb,0,1759103275394-510353_before.png,1759103275394-510353_after.png,223.00307152691718,51.71009586825153,3.892561209888072,3.7735023009583983,,,1759103275394,1759103275449,55,1759103275443,160.426254
VCURIOSITY_21,Set_13_elong_matte_2.glb,0,1759103275586-907189_before.png,1759103275586-907189_after.png,227.8137388189546,55.224563330281114,4.810667292037351,3.5144674620296428,,,1759103275586,1759103275637,51,1759103275640,159.102062
VCURIOSITY_21,Set_13_elong_matte_2.glb,0,1759103275778-191548_before.png,1759103275778-191548_after.png,233.7412730574983,58.39166941774408,5.927534238543672,3.1671060874630257,,,1759103275778,1759103275829,51,1759103275832,157.943704
