sessionId,model,actionId,s_t_img,s_t1_img,after_yaw,after_pitch,delta_yaw,delta_pitch,init_yaw,init_pitch,t_start_ms,t_end_ms,duration_ms,server_received_ms,recovered_after_eulerZ_deg
VCURIOSITY_25,Set_12_elong_matte_2.glb,-1,,,,,,,291.9905448884873,347.8009183095512,NaN,,,1759456286827,-133.003072
VCURIOSITY_25,Set_12_elong_matte_2.glb,0,1759456289542-362916_before.png,1759456289542-362916_after.png,290.90570046400177,345.97153735460677,-1.0848444244854818,-1.8293809549444404,,,1759456289542,1759456289604,62,1759456289608,-129.110510
VCURIOSITY_25,Set_12_elong_matte_2.glb,0,1759456290150-512585_before.png,1759456290150-512585_after.png,289.65735726355217,344.23729974300517,-1.2483432004496535,-1.7342376116016567,,,1759456290150,1759456290209,59,1759456290202,-125.958856
VCURIOSITY_25,Set_12_elong_matte_2.glb,0,1759456290374-451466_before.png,1759456290374-451466_after.png,288.2489023832344,342.6122816651406,-1.4084548803177768,-1.6250180778645245,,,1759456290374,1759456290424,50,1759456290429,-123.403199
VCURIOSITY_25,Set_12_elong_matte_2.glb,0,1759456291046-872520_before.png,1759456291046-872520_after.png,286.6854073505093,341.1104795677546,-1.5634950327250863,-1.501802097385962,,,1759456291046,1759456291100,54,1759456291105,-121.329770
VCURIOSITY_25,Set_12_elong_matte_2.glb,0,1759456291237-306662_before.png,1759456291237-306662_after.png,284.9740106527156,339.7456299815894,-1.7113966977937025,-1.3648495861652918,,,1759456291237,1759456291300,63,1759456291303,-119.650979
VCURIOSITY_25,Set_12_elong_matte_2.glb,0,1759456291430-27620_before.png,1759456291430-27620_after.png,283.1242681227917,338.5309764802211,-1.8497425299239012,-1.214653501368275,,,1759456291430,1759456291480,50,1759456291482,-118.300052
VCURIOSITY_25,Set_12_elong_matte_2.glb,0,1759456291608-920479_before.png,1759456291608-920479_after.png,281.1484293325181,337.47898788188905,-1.9758387902736558,-1.0519885983320592,,,1759456291607,1759456291664,57,1759456291666,-117.226435
VCURIOSITY_25,Set_12_elong_matte_2.glb,0,1759456291781-775746_before.png,1759456291781-775746_after.png,279.06159389145165,336.6010381301441,-2.086835441066455,-0.8779497517449499,,,1759456291781,1759456291838,57,1759456291839,-116.392182
VCURIOSITY_25,Set_12_elong_matte_2.glb,0,1759456292646-269767_before.png,1759456292646-269767_after.png,276.8817037314745,335.9070652692369,-2.1798901599771625,-0.6939728609072517,,,1759456292646,1759456292700,54,1759456292700,-115.769262
VCURIOSITY_25,Set_12_elong_matte_2.glb,0,1759456292824-193501_before.png,1759456292824-193501_after.png,274.62933827088676,335.4052334072771,-2.2523654605877255,-0.5018318619597721,,,1759456292824,1759456292882,58,1759456292882,-115.337611
VCURIOSITY_25,Set_12_elong_matte_2.glb,0,1759456292997-76519_before.png,1759456292997-76519_after.png,272.32729935038486,335.1016260305969,-2.3020389205019,-0.3036073766802474,,,1759456292997,1759456293057,60,1759456293059,-115.083771
VCURIOSITY_25,Set_12_elong_matte_2.glb,0,1759456293142-368516_before.png,1759456293142-368516_after.png,270.00000000000006,335,-2.3272993503848056,-0.1016260305968899,,,1759456293142,1759456293197,55,1759456293199,-115.000000
VCURIOSITY_25,Set_12_elong_matte_2.glb,0,1759456293285-435316_before.png,1759456293285-435316_after.png,267.67270064961525,335.10162603059683,-2.3272993503848056,0.1016260305968899,,,1759456293285,1759456293343,58,1759456293336,-115.083771
VCURIOSITY_25,Set_12_elong_matte_2.glb,0,1759456293446-228461_before.png,1759456293446-228461_after.png,265.3706617291133,335.405233407277,-2.3020389205019,0.3036073766802474,,,1759456293446,1759456293506,60,1759456293509,-115.337611
VCURIOSITY_25,Set_12_elong_matte_2.glb,0,1759456293606-407375_before.png,1759456293606-407375_after.png,263.11829626852557,335.9070652692369,-2.2523654605877255,0.5018318619598858,,,1759456293606,1759456293659,53,1759456293661,-115.769262
VCURIOSITY_25,Set_12_elong_matte_2.glb,0,1759456293766-742497_before.png,1759456293766-742497_after.png,260.93840610854835,336.60103813014405,-2.179890159977276,0.6939728609071381,,,1759456293766,1759456293822,56,1759456293824,-116.392182
VCURIOSITY_25,Set_12_elong_matte_2.glb,0,1759456293910-773863_before.png,1759456293910-773863_after.png,258.8515706674819,337.478987881889,-2.086835441066455,0.8779497517449499,,,1759456293910,1759456293961,51,1759456293955,-117.226435
VCURIOSITY_25,Set_12_elong_matte_2.glb,0,1759456294086-717671_before.png,1759456294086-717671_after.png,256.8757318772083,338.53097648022106,-1.9758387902736558,1.0519885983320592,,,1759456294086,1759456294143,57,1759456294149,-118.300052
VCURIOSITY_25,Set_12_elong_matte_2.glb,0,1759456294246-536399_before.png,1759456294246-536399_after.png,255.02598934728437,339.74562998158933,-1.8497425299239012,1.214653501368275,,,1759456294246,1759456294301,55,1759456294304,-119.650979
VCURIOSITY_25,Set_12_elong_matte_2.glb,0,1759456295013-954604_before.png,1759456295013-954604_after.png,253.31459264949066,341.11047956775457,-1.7113966977937025,1.3648495861652918,,,1759456295013,1759456295067,54,1759456295070,-121.329770
VCURIOSITY_25,Set_12_elong_matte_2.glb,0,1759456295158-927736_before.png,1759456295158-927736_after.png,251.75109761676555,342.6122816651405,-1.5634950327250863,1.501802097385962,,,1759456295158,1759456295213,55,1759456295216,-123.403199
VCURIOSITY_25,Set_12_elong_matte_2.glb,0,1759456295318-865163_before.png,1759456295318-865163_after.png,250.34264273644754,344.2372997430051,-1.4084548803180041,1.6250180778646381,,,1759456295318,1759456295368,50,1759456295365,-125.958856
VCURIOSITY_25,Set_12_elong_matte_2.glb,0,1759456295478-897153_before.png,1759456295478-897153_after.png,249.094299535998,345.9715373546067,-1.2483432004495398,1.7342376116016567,,,1759456295478,1759456295537,59,1759456295525,-129.110510
VCURIOSITY_25,Set_12_elong_matte_2.glb,0,1759456295623-69286_before.png,1759456295623-69286_after.png,248.00945511151252,347.80091830955115,-1.0848444244854818,1.8293809549444404,,,1759456295623,1759456295679,56,1759456295681,-133.003072
VCURIOSITY_25,Set_12_elong_matte_2.glb,0,1759456295766-910428_before.png,1759456295766-910428_after.png,247.09019287485617,349.7114148632375,-0.9192622366563228,1.9104965536863574,,,1759456295766,1759456295820,54,1759456295825,-137.813739
VCURIOSITY_25,Set_12_elong_matte_2.glb,0,1759456295910-545584_before.png,1759456295910-545584_after.png,246.3376467056833,351.68912826868313,-0.7525461691728879,1.9777134054456837,,,1759456295910,1759456295968,58,1759456295971,-143.741273
VCURIOSITY_25,Set_12_elong_matte_2.glb,0,1759456296054-120624_before.png,1759456296054-120624_after.png,245.75231220461205,353.7203280755581,-0.5853345010712019,2.0311998068749517,,,1759456296054,1759456296106,52,1759456296110,-150.968007
VCURIOSITY_25,Set_12_elong_matte_2.glb,0,1759456296262-624320_before.png,1759456296262-624320_after.png,245.33430564982473,355.7914574808706,-0.4180065547873255,2.0711294053124902,,,1759456296261,1759456296316,55,1759456296319,-159.575187
VCURIOSITY_25,Set_12_elong_matte_2.glb,2,1759456296838-847683_before.png,1759456296838-847683_after.png,240.33430564982478,355.7914574808705,-5,0,,,1759456296838,1759456296889,51,1759456296892,-162.488751
VCURIOSITY_25,Set_12_elong_matte_2.glb,3,1759456297496-873358_before.png,1759456297496-873358_after.png,245.33430564982473,355.7914574808706,5,0,,,1759456297495,1759456297546,51,1759456297550,-159.575187
VCURIOSITY_25,Set_12_elong_matte_2.glb,3,1759456297701-894802_before.png,1759456297701-894802_after.png,250.33430564982476,355.7914574808706,5,0,,,1759456297701,1759456297759,58,1759456297762,-155.366855
VCURIOSITY_25,Set_12_elong_matte_2.glb,3,1759456297879-977722_before.png,1759456297879-977722_after.png,255.33430564982476,355.7914574808706,5,0,,,1759456297879,1759456297932,53,1759456297934,-148.931088
VCURIOSITY_25,Set_12_elong_matte_2.glb,3,1759456298038-209175_before.png,1759456298038-209175_after.png,260.3343056498248,355.7914574808706,5,0,,,1759456298038,1759456298089,51,1759456298093,-138.392284
VCURIOSITY_25,Set_12_elong_matte_2.glb,3,1759456298198-793727_before.png,1759456298198-793727_after.png,265.3343056498247,355.7914574808705,5,0,,,1759456298198,1759456298253,55,1759456298255,-120.272930
VCURIOSITY_25,Set_12_elong_matte_2.glb,3,1759456298374-602278_before.png,1759456298374-602278_after.png,270.3343056498247,355.7914574808705,5,0,,,1759456298374,1759456298429,55,1759456298430,-92.117507
VCURIOSITY_25,Set_12_elong_matte_2.glb,3,1759456298518-826602_before.png,1759456298518-826602_after.png,275.3343056498247,355.7914574808705,5,0,,,1759456298518,1759456298569,51,1759456298574,-62.976055
VCURIOSITY_25,Set_12_elong_matte_2.glb,3,1759456298693-80277_before.png,1759456298693-80277_after.png,280.3343056498247,355.7914574808705,5,0,,,1759456298693,1759456298744,51,1759456298744,-43.515850
VCURIOSITY_25,Set_12_elong_matte_2.glb,3,1759456298870-819210_before.png,1759456298870-819210_after.png,285.3343056498247,355.7914574808705,5,0,,,1759456298870,1759456298922,52,1759456298925,-32.194266
VCURIOSITY_25,Set_12_elong_matte_2.glb,3,1759456299029-354307_before.png,1759456299029-354307_after.png,290.3343056498247,355.7914574808705,5,0,,,1759456299029,1759456299080,51,1759456299083,-25.343495
VCURIOSITY_25,Set_12_elong_matte_2.glb,3,1759456299206-921991_before.png,1759456299206-921991_after.png,295.3343056498247,355.7914574808705,5,0,,,1759456299206,1759456299264,58,1759456299265,-20.902936
VCURIOSITY_25,Set_12_elong_matte_2.glb,3,1759456299398-958009_before.png,1759456299398-958009_after.png,300.3343056498247,355.7914574808705,5,0,,,1759456299398,1759456299450,52,1759456299454,-17.849670
